band,n,share,share_lo,share_hi,mean_rating,mr_lo,mr_hi,pct_recommended,rec_lo,rec_hi,pct_positive,pos_lo,pos_hi,median_price,price_lo,price_hi,pih_rate,pih_lo,pih_hi
Light,728833,0.7889493636082191,0.7881160456485524,0.7897802784051752,4.294399402881044,4.291730581628439,4.29693808458179,0.8378783205044512,0.83697178602429,0.838782810493619,0.8185482819795481,0.8176384713644964,0.8194250603361812,40.0,40.0,40.0,0.028467426694455383,0.028113401835537084,0.0288695421310506
Medium,168350,0.18223602027274244,0.18145011930040494,0.18302456405604645,4.302667062667062,4.296886991386992,4.308055242055242,0.8453574060427413,0.8437239007614836,0.8470646032915745,0.8236471636471636,0.8218589248589249,0.825435550935551,39.0,39.0,39.0,0.045892485892485894,0.04484659934659935,0.046985595485595485
Deep,26619,0.028814616119038496,0.028475437305964215,0.029157713733421905,4.266501371201022,4.2519628836545325,4.279803899470303,0.8492587756356095,0.845302058529841,0.8533681542361164,0.8177241819752809,0.8126883053458056,0.8223834479131448,38.5,38.0,39.0,0.06739546940155527,0.06446241406514144,0.07043934783425373
