threshold,coverage,accuracy,cov_Light,acc_Light,cov_Medium,acc_Medium
0.3,1.0,0.7659574468085106,1.0,0.7620817843866171,1.0,0.7817679558011049
0.31,1.0,0.7659574468085106,1.0,0.7620817843866171,1.0,0.7817679558011049
0.32,1.0,0.7659574468085106,1.0,0.7620817843866171,1.0,0.7817679558011049
0.33,1.0,0.7659574468085106,1.0,0.7620817843866171,1.0,0.7817679558011049
0.34,0.9993136582017845,0.7664835164835165,1.0,0.7620817843866171,0.9986187845303868,0.7828492392807745
0.35,0.9993136582017845,0.7664835164835165,1.0,0.7620817843866171,0.9986187845303868,0.7828492392807745
0.36,0.9993136582017845,0.7664835164835165,1.0,0.7620817843866171,0.9986187845303868,0.7828492392807745
0.37,0.9986273164035689,0.7670103092783506,1.0,0.7620817843866171,0.9972375690607734,0.7839335180055401
0.38,0.9986273164035689,0.7670103092783506,1.0,0.7620817843866171,0.9972375690607734,0.7839335180055401
0.39,0.9986273164035689,0.7670103092783506,1.0,0.7620817843866171,0.9972375690607734,0.7839335180055401
0.4,0.9979409746053535,0.7668500687757909,0.9981412639405205,0.7616387337057728,0.9972375690607734,0.7839335180055401
0.41,0.9965682910089224,0.7672176308539945,0.9944237918215614,0.7626168224299066,0.9972375690607734,0.7839335180055401
0.42,0.9958819492107069,0.7677463818056512,0.9925650557620818,0.7640449438202247,0.9972375690607734,0.7839335180055401
0.43,0.9958819492107069,0.7677463818056512,0.9925650557620818,0.7640449438202247,0.9972375690607734,0.7839335180055401
0.44,0.9951956074124915,0.7682758620689655,0.9907063197026023,0.7654784240150094,0.9972375690607734,0.7839335180055401
0.45,0.9951956074124915,0.7682758620689655,0.9907063197026023,0.7654784240150094,0.9972375690607734,0.7839335180055401
0.46,0.9945092656142759,0.7681159420289855,0.9888475836431226,0.7650375939849624,0.9972375690607734,0.7839335180055401
0.47,0.9931365820178449,0.769177608845888,0.9851301115241635,0.7679245283018868,0.9972375690607734,0.7839335180055401
0.48,0.9924502402196294,0.7697095435684648,0.9851301115241635,0.7679245283018868,0.9972375690607734,0.7839335180055401
0.49,0.9910775566231984,0.7700831024930748,0.9814126394052045,0.7689393939393939,0.9972375690607734,0.7839335180055401
0.5,0.9876458476321208,0.7692842251563586,0.9758364312267658,0.7676190476190476,0.9958563535911602,0.7836338418862691
0.51,0.9821551132463967,0.7707896575821104,0.966542750929368,0.7692307692307693,0.9930939226519337,0.7858136300417247
0.52,0.9773507206588882,0.7717696629213483,0.9553903345724907,0.7704280155642024,0.9917127071823204,0.786908077994429
0.53,0.9718599862731641,0.7740112994350282,0.9553903345724907,0.7704280155642024,0.9834254143646409,0.7907303370786517
